[GIN] 2023/10/26 - 20:19:17 | 200 |    4.451891ms |       127.0.0.1 | GET      "/go/item/details/2909cbed-6fea-11ee-a4f7-e86a6465f38b"
[GIN] 2023/10/26 - 20:19:21 | 200 |   16.762618ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:19:22 | 200 |   40.721449ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:19:24 | 200 |    4.277585ms |             ::1 | GET      "/go/item/details/2909cbed-6fea-11ee-a4f7-e86a6465f38b"
[GIN] 2023/10/26 - 20:19:24 | 200 |    4.423744ms |       127.0.0.1 | GET      "/go/item/details/2909cbed-6fea-11ee-a4f7-e86a6465f38b"
[GIN] 2023/10/26 - 20:19:24 | 200 |    2.679292ms |             ::1 | GET      "/go/item/details/2909cbed-6fea-11ee-a4f7-e86a6465f38b"
[GIN] 2023/10/26 - 20:19:26 | 200 |   47.186478ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:19:29 | 200 |   33.595467ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/26 - 20:19:34 | 200 |  579.087186ms |       127.0.0.1 | POST     "/go/Transaction"
[GIN] 2023/10/26 - 20:19:36 | 200 |     853.971µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:19:37 | 200 |     370.736µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:19:37 | 200 |     312.843µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:14 | 200 |     825.645µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:15 | 200 |     532.131µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:15 | 200 |      610.19µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:15 | 200 |     797.024µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:16 | 200 |     472.996µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:16 | 401 |    5.258588ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:20:16 | 200 |     423.743µs |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:16 | 200 |  1.733902868s |             ::1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:16 | 200 |   26.540933ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:20:16 | 200 |    26.51168ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:20:16 | 200 |     701.129µs |       127.0.0.1 | POST     "/go/stripe"
[GIN] 2023/10/26 - 20:20:17 | 200 |   32.576692ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/26 - 20:20:19 | 200 |    3.531309ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:20:21 | 200 |    2.603597ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/26 - 20:20:21 | 200 |    4.183854ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/26 - 20:20:21 | 200 |    4.203388ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/26 - 20:20:22 | 200 |    3.543885ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/10/26 - 20:20:23 | 200 |    4.211004ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:24 | 200 |    4.038615ms |       127.0.0.1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:24 | 200 |    4.092344ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:27 | 200 |    4.299006ms |       127.0.0.1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:27 | 200 |    4.239671ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:27 | 200 |    4.080115ms |       127.0.0.1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:31 | 200 |    4.550672ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:31 | 200 |    4.047941ms |       127.0.0.1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:31 | 200 |     1.61026ms |             ::1 | GET      "/go/item/details/testItemID"
[GIN] 2023/10/26 - 20:20:33 | 200 |   20.153257ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:33 | 200 |   42.033452ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:34 | 200 |    42.21885ms |       127.0.0.1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:34 | 200 |   44.221168ms |             ::1 | POST     "/go/PostCart"
[GIN] 2023/10/26 - 20:20:34 | 200 |   43.800314ms |       127.0.0.1 | POST     "/go/PostCart"
